Contcod,Country,Region,Year,Bin_year,Group1,Group10
SYR,Syrian Arab Republic,M. East & N. Africa,2004,2003,546,4700
TCD,Chad,Sub-Saharan Africa,2002,2003,129,1524
TGO,Togo,Sub-Saharan Africa,2006,2008,221,1825
THA,Thailand,Other Asia,1988,1988,343,4519
THA,Thailand,Other Asia,1994,1993,457,6304
THA,Thailand,Other Asia,1998,1998,526,6344
THA,Thailand,Other Asia,2002,2003,546,6851
THA,Thailand,Other Asia,2008,2008,705,8034
TJK,Tajikistan,"Russia, C. Asia, SE Europe",1999,1998,177,1204
TJK,Tajikistan,"Russia, C. Asia, SE Europe",2003,2003,229,1750
TJK,Tajikistan,"Russia, C. Asia, SE Europe",2009,2008,422,2904
TKM,Turkmenistan,"Russia, C. Asia, SE Europe",1998,1998,258,3179
TKM,Turkmenistan,"Russia, C. Asia, SE Europe",2005,2003,524,7297
TLS,Timor-Leste,Other Asia,2001,2003,171,1848
TLS,Timor-Leste,Other Asia,2007,2008,267,1797
TTO,Trinidad and Tobago,L. America & Carib.,1988,1988,592,9914
TTO,Trinidad and Tobago,L. America & Carib.,1992,1993,463,6681
TUN,Tunisia,M. East & N. Africa,1990,1988,414,5571
TUN,Tunisia,M. East & N. Africa,1995,1993,425,5872
TUN,Tunisia,M. East & N. Africa,2000,1998,534,6910
TUN,Tunisia,M. East & N. Africa,2005,2003,633,8484
TUR,Turkey,"Russia, C. Asia, SE Europe",1987,1988,615,9155
TUR,Turkey,"Russia, C. Asia, SE Europe",1994,1993,555,7890
TUR,Turkey,"Russia, C. Asia, SE Europe",2000,1998,751,10654
TUR,Turkey,"Russia, C. Asia, SE Europe",2003,2003,558,8961
TUR,Turkey,"Russia, C. Asia, SE Europe",2008,2008,773,10759
TWN,Taiwan,Mature economies,1995,1993,3994,25488
TWN,Taiwan,Mature economies,2000,1998,3596,27233
TWN,Taiwan,Mature economies,2005,2003,3804,27161
TWN,Taiwan,Mature economies,2008,2008,4432,27839
TZA,Tanzania,Sub-Saharan Africa,1993,1993,238,2436
TZA,Tanzania,Sub-Saharan Africa,2001,2003,97,853
TZA,Tanzania,Sub-Saharan Africa,2007,2008,124,1307
UGA,Uganda,Sub-Saharan Africa,1989,1988,85,1487
UGA,Uganda,Sub-Saharan Africa,1992,1993,112,1580
UGA,Uganda,Sub-Saharan Africa,1999,1998,127,1871
UGA,Uganda,Sub-Saharan Africa,2005,2003,164,2154
UGA,Uganda,Sub-Saharan Africa,2009,2008,193,2959
UKR,Ukraine,"Russia, C. Asia, SE Europe",1995,1993,583,7477
UKR,Ukraine,"Russia, C. Asia, SE Europe",1999,1998,653,4154
UKR,Ukraine,"Russia, C. Asia, SE Europe",2003,2003,910,4597
UKR,Ukraine,"Russia, C. Asia, SE Europe",2008,2008,1582,8768
URY,Uruguay,L. America & Carib.,1989,1988,973,16242
URY,Uruguay,L. America & Carib.,1992,1993,883,13020
URY,Uruguay,L. America & Carib.,1998,1998,1002,19386
URY,Uruguay,L. America & Carib.,2003,2003,737,14136
URY,Uruguay,L. America & Carib.,2008,2008,937,18168
USA,United States,Mature economies,1986,1988,2636,43279
USA,United States,Mature economies,1991,1993,2746,43930
USA,United States,Mature economies,1997,1998,3142,56135
USA,United States,Mature economies,2004,2003,3203,60274
USA,United States,Mature economies,2008,2008,3283,72925
UZB,Uzbekistan,"Russia, C. Asia, SE Europe",1988,1988,203,835
UZB,Uzbekistan,"Russia, C. Asia, SE Europe",1993,1993,69,577
UZB,Uzbekistan,"Russia, C. Asia, SE Europe",2002,2003,184,1511
VEN,"Venezuela, RB",L. America & Carib.,1987,1988,506,15618
VEN,"Venezuela, RB",L. America & Carib.,1992,1993,454,8388
VEN,"Venezuela, RB",L. America & Carib.,1998,1998,227,8030
VEN,"Venezuela, RB",L. America & Carib.,2003,2003,111,5250
VEN,"Venezuela, RB",L. America & Carib.,2006,2008,316,8725
VNM,Vietnam,Other Asia,1992,1993,166,1393
VNM,Vietnam,Other Asia,1998,1998,213,1753
VNM,Vietnam,Other Asia,2004,2003,264,2463
VNM,Vietnam,Other Asia,2008,2008,326,2888
YEM,"Yemen, Rep.",M. East & N. Africa,1998,1998,328,2809
YEM,"Yemen, Rep.",M. East & N. Africa,2005,2003,293,3107
YEM,"Yemen, Rep.",M. East & N. Africa,2008,2008,233,2404
ZAF,South Africa,Sub-Saharan Africa,1993,1993,258,9627
ZAF,South Africa,Sub-Saharan Africa,2000,1998,235,8257
ZAF,South Africa,Sub-Saharan Africa,2005,2003,335,18018
ZAF,South Africa,Sub-Saharan Africa,2008,2008,361,15928
ZMB,Zambia,Sub-Saharan Africa,1993,1993,54,1983
ZMB,Zambia,Sub-Saharan Africa,1998,1998,81,2801
ZMB,Zambia,Sub-Saharan Africa,2002,2003,128,1669
ZMB,Zambia,Sub-Saharan Africa,2006,2008,74,2195
ZWE,Zimbabwe,Sub-Saharan Africa,1991,1993,112,3263
ZWE,Zimbabwe,Sub-Saharan Africa,1996,1998,110,2180
